ICCAT Serial Number,Country,Reg.Number,Name of FFB,Location,Capacity (t),cleaned_locations
AT001MAR00005,Morocco,MORFARM-004,ATLANTIQUE TUNA FARM,Point A : Lat : 34°24’00’’N Long : 06°39’25’’W Point B : Lat : 34°25’14’’ N Long : 06°38’40’’W Point C : Lat : 34°25’00’’ N Long : 06°36’50’’W Point D : Lat : 34°23’41’’ N,300.0,"[{""lat"": 34.4, ""lon"": -6.656944}, {""lat"": 34.420556, ""lon"": -6.644444}, {""lat"": 34.416667, ""lon"": -6.613889}]"
AT001MAR00006,Morocco,MORFARM-005,DAM'S TUNA,Point A : Lat : 35°19'27.4''N Long : 6°10'55.2''W Point B : Lat : 35°20'26.8''N Long : 6°10'52.9''W Point C : Lat : 35°20'27.1''N Long : 6°10'24.1''W Point D : Lat : 35°19'26.9''N,1500.0,"[{""lat"": 35.324278, ""lon"": -6.182}, {""lat"": 35.340778, ""lon"": -6.181361}, {""lat"": 35.340861, ""lon"": -6.173361}]"
AT001NOR00008,Norway,11749,Bårøy,"N60°56,733', 4°50,683'E",30.0,"[{""lat"": 60.94555, ""lon"": 4.844717}]"
AT001NOR00009,Norway,12978,Lyngholmen,"N61°1,000', 5°00,417'E",30.0,"[{""lat"": 61.016667, ""lon"": 5.00695}]"
AT001NOR00002,Norway,33077,Elveneset,"N61°12,283', 5°7,900'E",30.0,"[{""lat"": 61.204717, ""lon"": 5.131667}]"
AT001NOR00003,Norway,11643,Hatlem,"N61°12,033', 5°15,683'E",30.0,"[{""lat"": 61.20055, ""lon"": 5.261383}]"
AT001NOR00004,Norway,36297,Kjeringeholmen,"N61°23,433', 4°58,933'E",30.0,"[{""lat"": 61.39055, ""lon"": 4.982217}]"
AT001NOR00005,Norway,11737,Skorpa,"N60°56,700', 4°53,083'E",30.0,"[{""lat"": 60.945, ""lon"": 4.884717}]"
AT001NOR00006,Norway,11700,Storeneset,"N60°52,567', 5°1,717'E",30.0,"[{""lat"": 60.876117, ""lon"": 5.028617}]"
AT001NOR00007,Norway,10311,Storlia,"N61°12,183', 5°11,550'E",30.0,"[{""lat"": 61.20305, ""lon"": 5.1925}]"
AT001NOR00001,Norway,IMR-01,Byrknes,Byrknesfjorden,18.0,"[""Byrknesfjorden""]"
AT001TUN00005,Tunisia,0818812Y,Société Neifer et Ben Hmida (SNB),35°18’10’’N - 11°08’ 26’’ E 35°18’10’’N - 11°08’ 10’’ E 35°17’53’’N - 11°08’ 26’’ E 35°17’53’’N - 11°08’ 10’’ E,0.0,"[{""lat"": 35.302778, ""lon"": 11.140556}, {""lat"": 35.302778, ""lon"": 11.136111}, {""lat"": 35.298056, ""lon"": 11.140556}, {""lat"": 35.298056, ""lon"": 11.136111}]"
AT001TUN00006,Tunisia,B161042002,Taher Hajji et Cie (THC),35°18’10’’N - 11°08’ 56’’ E 35°18’10’’N - 11°08’ 40’’ E 35°17’53’’N - 11°08’ 56’’ E 35°17’53’’N - 11°08’ 40’’ E,0.0,"[{""lat"": 35.302778, ""lon"": 11.148889}, {""lat"": 35.302778, ""lon"": 11.144444}, {""lat"": 35.298056, ""lon"": 11.148889}, {""lat"": 35.298056, ""lon"": 11.144444}]"
AT001TUN00008,Tunisia,,SAMAKA TUNA FARM,ben khiar nabeul,500.0,"[""ben khiar nabeul""]"
AT001TUN00001,Tunisia,B18992003,Vivier Maritime de Tunisie (VMT),36°00’18’’N-10°34’ 36’’E 36°00’18’’N-10°34’ 55’’E 36°00’15’’N-10°34’ 0’’E 36°00’15’’N-10°34’ 37’’E,400.0,"[{""lat"": 36.005, ""lon"": 10.576667}, {""lat"": 36.005, ""lon"": 10.581944}, {""lat"": 36.004167, ""lon"": 10.566667}, {""lat"": 36.004167, ""lon"": 10.576944}]"
AT001TUN00002,Tunisia,784034SAM,Tunisia Tuna (TT),35°25’0’’N-11°04’ 40’’E 35°25’00’’N-11°05’ 04’’E 35°24’38’’N-11°04’ 40’’E 35°24’38’’N-11°05’ 04’’E,2200.0,"[{""lat"": 35.416667, ""lon"": 11.077778}, {""lat"": 35.416667, ""lon"": 11.084444}, {""lat"": 35.410556, ""lon"": 11.077778}, {""lat"": 35.410556, ""lon"": 11.084444}]"
AT001TUN00003,Tunisia,B11302003,Sagun-Douss,35°19’00’’N - 11°09’ 10’’ E 35°19’00’’N - 11°08’ 10’’ E 35°18’42’’N - 11°09’ 10’’ E 35°18’42’’N - 11°08’ 45’’ E,500.0,"[{""lat"": 35.316667, ""lon"": 11.152778}, {""lat"": 35.316667, ""lon"": 11.136111}, {""lat"": 35.311667, ""lon"": 11.152778}, {""lat"": 35.311667, ""lon"": 11.145833}]"
AT001TUN00004,Tunisia,0584123E,Tuna Farms of Tunisia (TFT),36°01’49’’N - 10°34’ 0 ’’ E 36°01’38’’N - 10°34’ 0 ’’ E 36°01’49’’N - 10°34’ 37’ E 36°01’38’’N - 10°34’ 37’’ E,1950.0,"[{""lat"": 36.030278, ""lon"": 10.566667}, {""lat"": 36.027222, ""lon"": 10.566667}, {""lat"": 36.030278, ""lon"": 10.576944}, {""lat"": 36.027222, ""lon"": 10.576944}]"
AT001TUR00004,Turkey,35-39,Sagun Tuna Farming,"N 38º 29' 16,73"" E 26º23' 23,12"" N 38º29'22,41"" E 26º23' 23,08""",800.0,"[{""lat"": 38.487981, ""lon"": 26.389756}, {""lat"": 38.489558, ""lon"": 26.389744}]"
AT001TUR00005,Turkey,B.35.07.0063,Akua Group Orkinos Besiciligi Projesi,"GERENCE KÖRHEZI, KARABURUN, ÇESME, IZMIR",800.0,"[""GERENCE K\u00d6RHEZI, KARABURUN, \u00c7ESME, IZMIR""]"
AT001TUR00010,Turkey,B.35.07.0075,KILIÇ Orkinos Besiciligi Projesi,"TOPRAK ADA MEVKII, KARABURUN, IZMIR",1840.0,"[""TOPRAK ADA MEVKII, KARABURUN, IZMIR""]"
AT001TUR00011,Turkey,B.35.07.0092,Sagun Orkinoz Besiciligi Projesi,"TOPRAK ADA MEVKII, KARABURUN, IZMIR",1000.0,"[""TOPRAK ADA MEVKII, KARABURUN, IZMIR""]"
AT001TUR00013,Turkey,B.35.07.0084,AK-TUNA ORKINOS BESICILIGI PROJESI,"ÇIFTE ADALAR, ILDIR, ÇESME, IZMIR",1000.0,"[""\u00c7IFTE ADALAR, ILDIR, \u00c7ESME, IZMIR""]"
AT001TUR00014,Turkey,B.35.07.0124,BASARANLAR ORKINOS BESICILIGI PROJESI,"38° 07' 49, 03"" N 26° 39' 28, 19"" E 38° 07' 48, 05"" N 26° 39' 33, 81"" E 38° 07' 40, 26"" N 26° 39' 25, 20"" E 38° 07' 39, 28"" N 26° 39' 30, 83"" E",900.0,"[{""lat"": 26.657831, ""lon"": 38.130014}, {""lat"": 26.659392, ""lon"": 38.12785}, {""lat"": 26.657, ""lon"": 38.127578}]"
