year,month,week,origin,volume_tonnes,price_high,price_mid,price_low,approx_fish_count,week_number,week_id
2005,6,1,各地,38.3,12600.0,1886.0,630,153,73,2005-06-1
2005,6,2,各地,41.5,13650.0,2135.0,840,166,74,2005-06-2
2005,6,3,各地,40.7,17850.0,2513.0,1050,163,75,2005-06-3
2005,6,4,各地,51.5,8400.0,2081.0,735,206,76,2005-06-4
2005,6,5,各地,51.9,8400.0,1496.0,735,208,77,2005-06-5
2005,7,1,各地,59.1,11550.0,1538.0,735,236,78,2005-07-1
2005,7,2,各地,39.3,7875.0,2431.0,840,157,79,2005-07-2
2005,7,3,各地,52.6,12600.0,2538.0,735,210,80,2005-07-3
2005,7,4,各地,50.6,8925.0,2406.0,840,202,81,2005-07-4
2005,8,1,各地,43.2,9450.0,2521.0,840,173,82,2005-08-1
2005,8,2,各地,41.8,6825.0,2916.0,735,167,83,2005-08-2
2005,8,3,各地,47.0,8400.0,3284.0,1050,188,84,2005-08-3
2005,8,4,各地,34.4,10500.0,3928.0,1575,138,85,2005-08-4
2005,9,1,各地,36.7,10500.0,3687.0,1575,147,86,2005-09-1
2005,9,2,各地,39.0,9450.0,3467.0,1050,156,87,2005-09-2
2005,9,3,各地,43.9,9975.0,3272.0,525,176,88,2005-09-3
2005,9,4,各地,49.0,6825.0,3382.0,1155,196,89,2005-09-4
2005,9,5,各地,47.6,10500.0,3561.0,1050,190,90,2005-09-5
2005,10,1,各地,43.7,10500.0,4001.0,1575,175,91,2005-10-1
2005,10,2,各地,48.2,9240.0,3831.0,1365,193,92,2005-10-2
2005,10,3,各地,44.7,12600.0,4160.0,1890,179,93,2005-10-3
2005,10,4,各地,49.0,10290.0,3779.0,1470,196,94,2005-10-4
2005,11,1,各地,46.9,9450.0,3470.0,735,188,95,2005-11-1
2005,11,2,各地,55.5,8400.0,3677.0,420,222,96,2005-11-2
2005,11,3,各地,44.5,10500.0,3984.0,1050,178,97,2005-11-3
2005,11,4,各地,51.6,7350.0,3488.0,1050,206,98,2005-11-4
2005,12,1,各地,46.5,10500.0,3827.0,840,186,99,2005-12-1
2005,12,2,各地,54.8,13650.0,7866.0,2100,219,100,2005-12-2
2005,12,3,各地,65.2,12600.0,5381.0,2100,261,101,2005-12-3
2005,12,4,各地,68.5,11550.0,6055.0,2625,274,102,2005-12-4
2006,1,1,各地,49.4,15750.0,4624.0,2100,198,103,2006-01-1
2006,1,2,各地,42.1,10500.0,3945.0,2100,168,104,2006-01-2
2006,1,3,各地,40.8,15750.0,4488.0,2100,163,105,2006-01-3
